event_id,risk_score,risk_tier,thermal_dimension_score,persistence_dimension_score,industrial_dimension_score,spatial_dimension_score,spectral_dimension_score,evidence_confidence,confidence_tier,missing_evidence,methodology_version,risk_score_raw,weighted_thermal,weighted_persistence,weighted_industrial,weighted_spatial,weighted_spectral,worldcover_class_name,osm_primary_category,osm_tier,distinct_satellites
EVT_00963466,49.0,MODERATE,0.06675285714285713,0.9697379124136052,0.7751149999999999,0.7231038040461534,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.4897937156508738,0.020025857142857137,0.2424344781034013,0.155023,0.07231038040461533,0.0,Bare / sparse vegetation,mine_quarry,2.0,5
EVT_00615821,46.1,MODERATE,0.12141000000000002,0.921109341575725,0.7838400000000001,0.3712029276084597,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.4605886281547772,0.036423000000000004,0.23027733539393125,0.15676800000000002,0.03712029276084597,0.0,Bare / sparse vegetation,factory_works,2.0,5
EVT_00959356,43.0,MODERATE,0.036297142857142896,0.9024156795714697,0.78312,0.3662193504252748,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.4297389977925378,0.010889142857142868,0.22560391989286743,0.156624,0.03662193504252748,0.0,Tree cover,industrial_area,2.0,5
EVT_00751641,41.9,MODERATE,0.13610285714285708,0.9002669961054908,0.573555,0.3812475999071849,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.4187333661599483,0.04083085714285712,0.2250667490263727,0.11471100000000001,0.03812475999071849,0.0,Bare / sparse vegetation,mine_quarry,2.0,5
EVT_00615820,46.1,MODERATE,0.12987471428571423,0.9113036432100943,0.7825799999999999,0.37921849255069984,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.4612261743433078,0.038962414285714266,0.22782591080252357,0.156516,0.037921849255069986,0.0,Bare / sparse vegetation,factory_works,2.0,5
EVT_00134338,45.3,MODERATE,0.064537,0.893952035538111,0.79978,0.5024284280677337,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.45304795169130113,0.0193611,0.22348800888452774,0.15995600000000001,0.05024284280677337,0.0,Bare / sparse vegetation,factory_works,2.0,5
EVT_00941198,43.1,MODERATE,0.06632928571428577,0.8846870648581096,0.79707,0.3030257224027443,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.43078712416908754,0.01989878571428573,0.2211717662145274,0.159414,0.03030257224027443,0.0,Tree cover,industrial_area,2.0,5
EVT_00974631,41.2,MODERATE,0.059953142857142885,0.8749176743340121,0.7572,0.23367151111728354,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.41152251255237426,0.017985942857142865,0.21872941858350303,0.15144000000000002,0.023367151111728355,0.0,Bare / sparse vegetation,mine_quarry,2.0,5
EVT_00794642,44.1,MODERATE,0.09076142857142852,0.8879626806855382,0.7785749999999999,0.358199207633433,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.4407540195061564,0.027228428571428556,0.22199067017138455,0.155715,0.0358199207633433,0.0,Cropland,mine_quarry,2.0,5
EVT_00972152,41.9,MODERATE,0.04600999999999998,0.8892072222272447,0.72926,0.3747784508552785,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.41943465064233904,0.013802999999999994,0.22230180555681117,0.145852,0.03747784508552785,0.0,Tree cover,mine_quarry,2.0,5
EVT_00383364,42.9,MODERATE,0.05750571428571424,0.8814674205749151,0.7956399999999999,0.3207854499205263,0.0,70.0,MEDIUM,"spectral_quality:degraded_cloud,temporal_relevance:stale",PhaseIX-2026-09-14,0.4288251144214957,0.017251714285714273,0.22036685514372878,0.159128,0.032078544992052635,0.0,Tree cover,industrial_area,2.0,5
EVT_00964154,48.3,MODERATE,0.0723057142857143,0.9320580463330709,0.77918,0.7210279848924398,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.48264502435822604,0.02169171428571429,0.23301451158326772,0.155836,0.07210279848924399,0.0,Tree cover,mine_quarry,2.0,5
EVT_00599592,45.8,MODERATE,0.06561428571428565,0.9095499273479046,0.7864199999999999,0.5327780124053676,0.0,70.0,MEDIUM,temporal_relevance:stale,PhaseIX-2026-09-14,0.4576335687917986,0.019684285714285696,0.22738748183697616,0.15728399999999998,0.053277801240536764,0.0,Permanent water bodies,mine_quarry,2.0,5
